山不在高，有仙则名。水不在深，有龙则灵。	陋室铭
请君看取东流水，方识人间别意长。	鹧鸪天·惜别
春水别来应到海，小松生命合禁霜。	秋晚悲怀
晓看天色暮看云，行也思君，坐也思君。	一剪梅·雨打梨花深闭门
终日两相思。为君憔悴尽，百花时。	南歌子·倭堕低梳髻
遥知兄弟登高处，遍插茱萸少一人。	九月九日忆山东兄弟
烽火连三月，家书抵万金。	春望
乡书何处达？归雁洛阳边。	次北固山下
举头望明月，低头思故乡。	静夜思
独在异乡为异客，每逢佳节倍思亲。	九月九日忆山东兄弟
锦瑟无端五十弦，一弦一柱思华年。	锦瑟
洛阳城里见秋风，欲作家书意万重。	秋思
浊酒一杯家万里，燕然未勒归无计。	渔家傲·秋思
春心莫共花争发，一寸相思一寸灰！	无题·飒飒东风细雨来
谁念西风独自凉，萧萧黄叶闭疏窗，沉思往事立残阳。	浣溪沙·谁念西风独自凉
四面边声连角起，千嶂里，长烟落日孤城闭。	渔家傲·秋思
愿君多采撷，此物最相思。	相思
今夜月明人尽望，不知秋思落谁家。	十五夜望月寄杜郎中
休对故人思故国，且将新火试新茶。诗酒趁年华。	望江南·超然台作
风一更，雪一更，聒碎乡心梦不成，故园无此声。	长相思·山一程
杨花榆荚无才思，惟解漫天作雪飞。	晚春二首·其一
夜发清溪向三峡，思君不见下渝州。	峨眉山月歌
连天衰草，望断归来路。	点绛唇·闺思
思悠悠，恨悠悠，恨到归时方始休。	长相思·汴水流
邯郸驿里逢冬至，抱膝灯前影伴身。	邯郸冬至夜思家
人归落雁后，思发在花前。	人日思归
人言落日是天涯，望极天涯不见家。	乡思
西陆蝉声唱，南冠客思深。	咏蝉 / 在狱咏蝉
慊慊思归恋故乡，君为淹留寄他方。	燕歌行二首·其一
身多疾病思田里，邑有流亡愧俸钱。	寄李儋元锡
一晌凭栏人不见，鲛绡掩泪思量遍。	鹊踏枝·梅落繁枝千万片
红叶黄花秋意晚，千里念行客。	思远人·红叶黄花秋意晚
乡泪客中尽，孤帆天际看。	早寒江上有怀 / 早寒有怀 / 江上思归
江汉思归客，乾坤一腐儒。	江汉
与君别。相思一夜梅花发。	忆秦娥·与君别
一寸丹心图报国，两行清泪为思亲。	立春日感怀
故园渺何处，归思方悠哉。	闻雁
城上高楼接大荒，海天愁思正茫茫。	登柳州城楼寄漳汀封连四州
不忍登高临远，望故乡渺邈，归思难收。	八声甘州·对潇潇暮雨洒江天
竹坞无尘水槛清，相思迢递隔重城。	宿骆氏亭寄怀崔雍崔衮
四面歌残终破楚，八年风味徒思浙。	满江红·小住京华
马思边草拳毛动，雕眄青云睡眼开。	始闻秋风
一日不思量，也攒眉千度。	昼夜乐·洞房记得初相遇
风里落花谁是主？思悠悠。	摊破浣溪沙·手卷真珠上玉钩
宦情羁思共凄凄，春半如秋意转迷。	柳州二月榕叶落尽偶题
夜闻归雁生乡思，病入新年感物华。	戏答元珍
帝里重清明，人心自愁思。	清明即事
沉恨细思，不如桃杏，犹解嫁东风。	一丛花令·伤高怀远几时穷
不信妾肠断，归来看取明镜前。	长相思三首
相思休问定何如。情知春去后，管得落花无。	临江仙·忆昔西池池上饮
戍客望边邑，思归多苦颜。	关山月
日色欲尽花含烟，月明欲素愁不眠。	长相思·其二
思君若汶水，浩荡寄南征。	沙丘城下寄杜甫
文章已满行人耳，一度思卿一怆然。	吊白居易
两处春光同日尽，居人思客客思家。	望驿台
若问相思甚了期，除非相见时。	长相思·长相思
那堪更被明月，隔墙送过秋千影。	青门引·春思
徘徊将何见？忧思独伤心。	咏怀八十二首·其一
家住层城临汉苑，心随明月到胡天。	春思
已恨碧山相阻隔，碧山还被暮云遮。	乡思
乡书不可寄，秋雁又南回。	章台夜思
思欲委符节，引竿自刺船。	贼退示官吏
别有相思处，啼鸟杂夜风。	别宋常侍
缠绵思尽抽残茧，宛转心伤剥后蕉。	绮怀
青山朝别暮还见，嘶马出门思旧乡。	送陈章甫
小怜初上琵琶，晓来思绕天涯。	清平乐·春晚
忽闻歌古调，归思欲沾巾。	和晋陵陆丞早春游望
几度思归还把酒，拂云堆上祝明妃。	题木兰庙
寒灯思旧事，断雁警愁眠。	旅宿
明朝且做莫思量，如何过得今宵去。	踏莎行·情似游丝
梦回芳草思依依，天远雁声稀。	喜迁莺·晓月坠
客思似杨柳，春风千万条。	壬辰寒食
不见又思量，见了还依旧。	谢池春·残寒销尽
望阙云遮眼，思乡雨滴心。	阴雨
一别家山音信杳，百种相思，肠断何时了。	蝶恋花·一别家山音信杳
白下有山皆绕郭，清明无客不思家。	清明呈馆中诸公
思归若汾水，无日不悠悠。	太原早秋
上有愁思妇，悲叹有余哀。	七哀诗
玉炉香，红蜡泪，偏照画堂秋思。	更漏子·玉炉香
行人无限秋风思，隔水青山似故乡。	题稚川山水
君是南山遗爱守，我为剑外思归客。	满江红·寄鄂州朱使君寿昌
汀洲无浪复无烟，楚客相思益渺然。	自夏口至鹦鹉洲夕望岳阳寄源中丞
石溪久住思端午，馆驿楼前看发机。	竞渡诗 / 及第后江宁观竞渡寄袁州剌史成应元
不用思量今古，俯仰昔人非。	八声甘州·寄参寥子
遥知未眠月，乡思在渔歌。	送人游吴
梦里相思，故国王孙路。	点绛唇·春日风雨有感
今年游寓独游秦，愁思看春不当春。	春日京中有怀
谁见汀洲上，相思愁白蘋.。	饯别王十一南游
忘却成都来十载，因君未免思量。	临江仙·送王缄
年年春日异乡悲，杜曲黄莺可得知。	江外思乡
目送征鸿飞杳杳，思随流水去茫茫。	浣溪沙·蓼岸风多橘柚香
明岁秋风知再会，暂时分手莫相思。	残菊
乡思不堪悲橘柚，旅游谁肯重王孙。	秋宿湘江遇雨
今朝北客思归去，回入纥那披绿罗。	竹枝词二首·其二
碧芜千里思悠悠，惟有霎时凉梦、到南州。	虞美人·玉阑干外清江浦
吴洲如见月，千里幸相思。	送张舍人之江东
梦里分明见关塞，不知何路向金微。	秋闺思二首
明日相思莫上楼，楼上多风雨。	卜算子·风雨送人来
自是相思抽不尽，却教风雨怨秋声。	咏芭蕉
愁与西风应有约，年年同赴清秋。	临江仙·闺思
要问相思，天涯犹自短。	清商怨·庭花香信尚浅
郁陶思君未敢言，寄声浮云往不还。	燕歌行二首·其二
日日望乡国，空歌白苎词。	蓟北旅思 / 送远人
相思一夜窗前梦，奈个人、水隔天遮。	高阳台·和周草窗寄越中诸友韵
傍邻闻者多叹息，远客思乡皆泪垂。	听安万善吹觱篥歌
且莫思身外，长近尊前。	满庭芳·夏日溧水无想山作
临水一长啸，忽思十年初。	垂钓
相逢不尽平生事，春思入琵琶。	乌夜啼·离恨远萦杨柳
尽教春思乱如云，莫管世情轻似絮。	玉楼春·雕鞍好为莺花住
故乡今夜思千里，霜鬓明朝又一年。	除夜作
丹砂成黄金，骑龙飞上太清家，云愁海思令人嗟。	飞龙引二首·其一
所向泥活活，思君令人瘦。	九日寄岑参
翘思慕远人，愿欲托遗音。	杂诗七首·其一
万种思量，多方开解，只恁寂寞厌厌地。	忆帝京·薄衾小枕凉天气
叹息聊自思，此生岂我情。	石竹咏
不堪肠断思乡处，红槿花中越鸟啼。	谪岭南道中作
相思血，都沁绿筠枝。	小重山令·赋潭州红梅
料有牵情处，忍思量、耳边曾道。	青门饮·寄宠人
眇眇孤舟逝，绵绵归思纡。	始作镇军参军经曲阿作
方舟安可极，离思故难任！	杂诗七首·其一
往事思量一晌空，飞絮无情，依旧烟笼。	一剪梅·咏柳
血染红笺，泪题锦句。西湖岂忆相思苦。	踏莎行·闲游
为问暗香闲艳，也相思、万点付啼痕。	南浦·旅怀
夜寒微透薄罗裳，无限思量。	画堂春·春情
芳草句，碧云辞，低徊闲自思。	阮郎归·杏花疏雨洒香堤
不觉新凉似水，相思两鬓如霜。	西江月·新秋写兴
上有流思人，怀旧望归客。	送江水曹还远馆
君思颍水绿，忽复归嵩岑。	送裴十八图南归嵩山二首
怜君片云思，一棹去潇湘。	送薛种游湖南
空独倚东风，芳思谁寄。	绣鸾凤花犯·赋水仙
为有书来与我期，便从兰杜惹相思。	定风波·为有书来与我期
勾引东风，也知芳思难禁。	高阳台·除夜
春色边城动，客思故乡来。	边城思
羡青山有思，白鹤忘机。	八声甘州·摘青梅荐酒
吴洲春草兰杜芳，感物思归怀故乡。	寒食江州满塘驿
醉后莫思家，借取师师宿。	生查子·落梅庭榭香
想得玉人情，也合思量我。	生查子·窗雨阻佳期
恨入空帷鸾影独，泪凝双脸渚莲光，薄情年少悔思量。	浣溪沙·荷芰风轻帘幕香
记得年时临上马，看人眼泪汪汪。如今不忍更思量。	临江仙·千里长安名利客
梅似雪，柳如丝。试听别语慰相思。	鹧鸪天·送欧阳国瑞入吴中
不成抛掷，梦里终相觅。	点绛唇·屏却相思
纵明月相思千里隔。梦咫尺。勤书尺。	琴调相思引·送范殿监赴黄岗
风暖有人能作伴，日长无事可思量。	浣溪沙·上巳
一涓春水点黄昏，便没顿、相思处。	留春令·咏梅花
胜概日相与，思君心郁陶。	巩北秋兴寄崔明允
永夜角声悲自语，客心愁破正思家。	望江南·幽州九日
曲屏先暖鸳衾惯，夜寒深、都是思量。	风入松·为友人放琴客赋
相思谩然自苦，算云烟、过眼总成空。	木兰花慢·莺啼啼不尽
思来江山外，望尽烟云生。	秋晚登楼望南江入始兴郡路
锦带吴钩，征思横雁水。	荔枝香近·送人游南徐
谁信多情道，相思渐觉诗狂少。	惜分飞·寒夜
撩乱舞晴空，发人无限思。	柳花词三首
蜂须轻惹百花心，蕙风兰思寄清琴。	浣溪沙·握手河桥柳似金
莫嫌白发不思量，也须有、思量去里。	鹊桥仙·送粉卿行
春愁凝思结眉心，绿绮懒调红锦荐。	玉楼春·拂水双飞来去燕
江南几日又天涯，谁与寄相思？	木兰花慢·武林归舟中作
望家思献寿，算甲恨长年。	除夜长安客舍
香灭绣帷人寂寂，倚槛无言愁思远。	玉楼春·柳映玉楼春日晚
水色渌且明，令人思镜湖。	登单父陶少府半月台
傥寄相思字，愁人定解颜。	送夏侯审校书东归
心事孤山春梦在，到思量、犹断诗魂。	极相思·题陈藏一水月梅扇
短景归秋，吟思又接愁边。	玉蝴蝶·晚雨未摧宫树
闲中件件思，暗里般般量。	雁儿落带得胜令·饮中闲咏
抛家傍路，思量却是，无情有思。	水龙吟·次韵章质夫杨花词
白云江上故乡，月下风前吟处。	秋日思旧山
相思只在梦魂中。今宵月，偏照小楼东。	小重山·绿树莺啼春正浓
近寒食人家，相思未忘苹藻香。	寿楼春·寻春服感念
刚待不思量，吹一片、箫声过墙。	太常引·客中闻歌
春风旍旗拥万夫，幕下诸将思草枯。	送范德孺知庆州
香到酴醾送晚凉，荇风轻约薄罗裳。曲阑凭遍思偏长。	浣溪沙·初夏
写不成书，只寄得、相思一点。	解连环·孤雁
说相思，问相思，枫落吴江雁去迟。	长相思·以书寄西泠诸友即题其后
相思记取，愁绝西窗夜雨。	薄幸·送安伯弟
后夜相思，尘随马去，月逐舟行。	柳梢青·送卢梅坡
淡淡横朝烟，脉脉深秋思。	湘江秋晓
客思吟商还怯。怨歌长、琼壶暗缺。	玉京秋·烟水阔
相思不管年华，唤酒吴娃市。	荔枝香近·送人游南徐
莫辞秉烛通霄坐，明日相思隔陇烟。	诸门人送至龙里道中二首
思量旧梦，黄梅听雨，危阑倦倚。	水龙吟·雪中登大观亭
又争知、一字相思，不到吟边。	高阳台·残萼梅酸
何处寄想思，南风摇五两。	送宇文太守赴宣城
来岁长安春事早，劝杏花、断莫相思死。	金缕曲·癸酉秋出都述怀有赋
重叠不可思，思此谁能惬。	芳树
鸿雁来时，无限思量。	诉衷情·芙蓉金菊斗馨香
伤心阔别三千里，屈指思量四五年。	寒食日重游李氏园亭有怀
此心终合雪，去已莫思量。	送迁客
况复烦促倦，激烈思时康。	夏夜叹
塞垣多少思归客，留着长条赠远游。	官桥柳色
何用慰相思，裁书寄关右。	送诸暨王主簿之任
归雁横秋，倦客思家。	折桂令·九日
春思远，谁叹赏、国香风味。	绣鸾凤花犯·赋水仙
杨枝飘泊，桃根娇小，独自个思量。	太常引·客中闻歌
怎不思量，除梦里、有时曾去。	燕山亭·北行见杏花
少小离家老大回，乡音无改鬓毛衰。	回乡偶书二首·其一
近乡情更怯，不敢问来人。	渡汉江
谁家玉笛暗飞声，散入春风满洛城。	春夜洛城闻笛 / 春夜洛阳城闻笛
无端更渡桑干水，却望并州是故乡。	旅次朔方 / 渡桑干
露从今夜白，月是故乡明。	月夜忆舍弟
日暮乡关何处是？烟波江上使人愁。	黄鹤楼 / 登黄鹤楼
但愿人长久，千里共婵娟。	水调歌头·明月几时有
悲歌可以当泣，远望可以当归。	悲歌
胡马依北风，越鸟巢南枝。	行行重行行
相去日已远，衣带日已缓。	行行重行行
若为化得身千亿，散上峰头望故乡。	与浩初上人同看山寄京华亲故
明朝望乡处，应见陇头梅。	题大庾岭北驿
举杯邀明月，对影成三人。	月下独酌四首·其一
海上生明月，天涯共此时。	望月怀远 / 望月怀古
西北望乡何处是，东南见月几回圆。	八月十五日夜湓亭望月
不知何处吹芦管，一夜征人尽望乡。	夜上受降城闻笛
秦时明月汉时关，万里长征人未还。	出塞二首·其一
白日放歌须纵酒，青春作伴好还乡。	闻官军收河南河北
怀旧空吟闻笛赋，到乡翻似烂柯人。	酬乐天扬州初逢席上见赠
试问岭南应不好。却道。此心安处是吾乡。	定风波·南海归赠王定国侍人寓娘
羁鸟恋旧林，池鱼思故渊。	归园田居·其一
君自故乡来，应知故乡事。	杂诗三首·其二
画图省识春风面，环佩空归夜月魂。	咏怀古迹五首·其三
共看明月应垂泪，一夜乡心五处同。	望月有感
夜来幽梦忽还乡。小轩窗。正梳妆。相顾无言，惟有泪千行。	江城子·乙卯正月二十日夜记梦
书卷多情似故人，晨昏忧乐每相亲。	观书
未老莫还乡，还乡须断肠。	菩萨蛮·人人尽说江南好
悠悠天宇旷，切切故乡情。	西江夜行
已知泉路近，欲别故乡难。	别云间
落叶他乡树，寒灯独夜人。	灞上秋居
家在梦中何日到，春来江上几人还？	长安春望
洛阳城里春光好，洛阳才子他乡老。	菩萨蛮
晨起动征铎，客行悲故乡。	商山早行
卧龙跃马终黄土，人事音书漫寂寥。	阁夜
今春看又过，何日是归年。	绝句二首
岭外音书断，经冬复历春。	渡汉江
长风几万里，吹度玉门关。	关山月
一年将尽夜，万里未归人。	除夜宿石头驿
一声梧叶一声秋，一点芭蕉一点愁，三更归梦三更后。	水仙子·夜雨
君家何处住，妾住在横塘。	长干行·君家何处住
淮南皓月冷千山，冥冥归去无人管。	踏莎行·自沔东来丁未元日至金陵江上感梦而作
春风一夜吹乡梦，又逐春风到洛城。	春兴
威加海内兮归故乡。安得猛士兮守四方！	大风歌
登临送目，正故国晚秋，天气初肃。	桂枝香·金陵怀古
他乡生白发，旧国见青山。	贼平后送人北归
何日归家洗客袍？银字笙调，心字香烧。	一剪梅·舟过吴江
停船暂借问，或恐是同乡。	长干行·君家何处住
二月江南花满枝，他乡寒食远堪悲。	寒食
何事吟余忽惆怅，村桥原树似吾乡。	村行
我行殊未已，何日复归来。	题大庾岭北驿
江水三千里，家书十五行。	京师得家书
万里归船弄长笛，此心吾与白鸥盟。	登快阁
青紫虽被体，不如早还乡。	夏夜叹
老至居人下，春归在客先。	新年作
三湘愁鬓逢秋色，万里归心对月明。	晚次鄂州
碛里征人三十万，一时回向月明看。	从军北征
乡心新岁切，天畔独潸然。	新年作
门有车马客，驾言发故乡。	门有车马客行
岁夜高堂列明烛，美酒一杯声一曲。	听安万善吹觱篥歌
还将两行泪，遥寄海西头。	宿桐庐江寄广陵旧游
满衣血泪与尘埃，乱后还乡亦可哀。	送陈秀才还沙上省墓
夜寒茅店不成眠，残月照吟鞭。	诉衷情·夜寒茅店不成眠
古台摇落后，秋日望乡心。	秋日登吴公台上寺远眺
有情知望乡，谁能鬒不变？	晚登三山还望京邑
雁尽书难寄，愁多梦不成。	闺怨二首·其一
年年跃马长安市。客舍似家家似寄。	玉楼春·戏林推
塞花飘客泪，边柳挂乡愁。	武威春暮闻宇文判官西使还已到晋昌
从今后，梦魂千里，夜夜岳阳楼。	满庭芳·汉上繁华
汉月垂乡泪，胡沙费马蹄。	碛西头送李判官入京
未收天子河湟地，不拟回头望故乡。	少年行四首·其三
过尽征鸿来尽燕，故园消息茫然。	临江仙·暮春
不知何岁月，得与尔同归？	南中咏雁诗
归梦寄吴樯。水驿江程去路长。	南乡子·归梦寄吴樯
云物不殊乡国异，教儿且覆掌中杯。	小至
灞涘望长安，河阳视京县。	晚登三山还望京邑
明眸皓齿谁复见，只有丹青余泪痕。	虢国夫人夜游图
四海十年兵不解，胡尘直到江城。	临江仙·四海十年兵不解
风尘荏苒音书绝，关塞萧条行路难。	宿府
试问乡关何处是，水云浩荡迷南北。	满江红·丁未九月南渡泊舟仪真江口作
万里乡为梦，三边月作愁。	送人赴安西
此地动归念，长年悲倦游。	入若耶溪
远梦归侵晓，家书到隔年。	旅宿
行行无别语，只道早还乡。	京师得家书
翻被梨花冷看，人生苦恋天涯。	朝中措·清明时节
楚水巴山江雨多，巴人能唱本乡歌。	竹枝词二首·其二
不用凭栏苦回首，故乡七十五长亭。	题齐安城楼
异乡物态与人殊，惟有东风旧相识。	春日西湖寄谢法曹韵
天怜客子乡关远。借与花消遣。	虞美人·梳楼
他乡共酌金花酒，万里同悲鸿雁天。	九月九日登玄武山 / 九月九日旅眺
鹿车何日驾，归去颍东田。	秋怀
夜听胡笳折杨柳，教人意气忆长安。	凉州词二首
坐到三更尽，归仍万里赊。	桂州腊夜
堪怨王孙，不记归期早。	苏幕遮·草
杨柳乍如丝，故园春尽时。	菩萨蛮·问君何事轻离别
正见空江明月来，云水苍茫失江路。	晚泊岳阳
自从一闭风光后，几度飞来不见人。	隋宫燕
九月九日眺山川，归心归望积风烟。	九月九日登玄武山 / 九月九日旅眺
男儿少为客，不辨是他乡。	黄河夜泊
行多有病住无粮，万里还乡未到乡。	逢病军人
渐近燕山。回首乡关归路难。	减字木兰花·题雄州驿
关山四面绝，故乡几千里。	断句
隔水毡乡，落日牛羊下，区脱纵横。	六州歌头·长淮望断
他乡逢七夕，旅馆益羁愁。	他乡七夕
重到故乡交旧少，凄凉。却恐它乡胜故乡。	南乡子·归梦寄吴樯
故乡归去千里，佳处辄迟留。	水调歌头·安石在东海
烽火平安夜，归梦到家山。	水调歌头·题剑阁
如今白首乡心尽，万里归程在梦中。	送婆罗门
画图恰似归家梦，千里河山寸许长。	鹧鸪天·送元济之归豫章
那堪旅馆经残腊，只把空书寄故乡。	维扬冬末寄幕中二从事
常有江南船，寄书家中否。	杂诗三首 / 杂咏三首
儿童见说深惊讶，却问何方是故乡。	同州端午
回鞭指长安，西日落秦关。	登敬亭北二小山余时送客逢崔侍御并登此地
送子军中饮，家书醉里题。	碛西头送李判官入京
取酒须勤醉，乡关不可思。	送张寺丞觐知富顺监
回首故山千里外，别离心绪向谁言？	寒食寄郑起侍郎
临水整乌纱。两鬓苍华。故乡心事在天涯。	浪淘沙·岸柳可藏鸦
故国山川，故园心眼，还似王粲登楼。	一萼红·登蓬莱阁有感
日落君山云气，春到沅湘草木，远思渺难收。	水调歌头·过岳阳楼作
交亲望归骑，几处拥年华。	岁晚还京台望城阙成口号先赠交亲
一去隔绝国，思归但长嗟。	千里思
落日暴风雨，归路绕汀湾。	水调歌头·沧浪亭
楚乡飞鸟没，独与碧云还。	送夏侯审校书东归
帝乡三千里，杳在碧云间。	登敬亭北二小山余时送客逢崔侍御并登此地
故乡遥，何日去。家住吴门，久作长安旅。	苏幕遮·燎沉香
天涯失乡路，江外老华发。	江南春怀
众中闻謦欬，未语知乡里。	送金山乡僧归蜀开堂
飞锡离乡久，宁亲喜腊初。	送外甥怀素上人归乡侍奉
故国伤心，新亭泪眼，更洒潇潇雨。	念奴娇·避地溢江书于新亭
到家应是，童稚牵衣，笑我华颠。	诉衷情·夜寒茅店不成眠
十二阑干，故国三千里。	凤栖梧·衰柳疏疏苔满地
料得他乡遇佳节，亦应怀抱暗凄然。	寒食日重游李氏园亭有怀
衣懒换，酒难赊。可怜此夕看梅花。	思佳客·癸卯除夜
亦有白骨归咸阳，营家各与题本乡。	渡辽水
蓟城通漠北，万里别吾乡。	古塞下曲
渐老念乡国，先归独羡君。	送僧南归
刷羽同摇漾，一举还故乡。	咏湖中雁
剑花寒，夜坐归心壮，又是他乡。	满庭芳·客中九日
镇日思归归未得，孤负殷勤杜宇。	念奴娇·避地溢江书于新亭
乡国真堪恋，光阴可合轻。	洛桥寒食日作十韵
百结愁肠郁不开，此生惆怅异乡来。	九日感赋
骋望因高云外尽，乡关回首愧烟萝。	九月九日登长城关
凭高远望，见家乡、只在白云深处。	念奴娇·避地溢江书于新亭
茂苑人归，秦楼燕宿，同惜天涯为旅。	齐天乐·新烟初试花如梦
夕阳无限好，只是近黄昏。	乐游原 / 登乐游原
月落乌啼霜满天，江枫渔火对愁眠。	枫桥夜泊 / 夜泊枫江
物是人非事事休，欲语泪先流。	武陵春·春晚
出师未捷身先死，长使英雄泪满襟。	蜀相
沧海月明珠有泪，蓝田日暖玉生烟。	锦瑟
春潮带雨晚来急，野渡无人舟自横。	滁州西涧
我寄愁心与明月，随风直到夜郎西。	闻王昌龄左迁龙标遥有此寄
黄昏庭院柳啼鸦，记得那人，和月折梨花。	虞美人·东风荡飏轻云缕
少年不识愁滋味，爱上层楼。爱上层楼。为赋新词强说愁。	丑奴儿·书博山道中壁
执手相看泪眼，竟无语凝噎。	雨霖铃·寒蝉凄切
自在飞花轻似梦，无边丝雨细如愁。	浣溪沙·漠漠轻寒上小楼
却看妻子愁何在，漫卷诗书喜欲狂。	闻官军收河南河北
瀚海阑干百丈冰，愁云惨淡万里凝。	白雪歌送武判官归京
伤心桥下春波绿，曾是惊鸿照影来。	沈园二首
羌管悠悠霜满地，人不寐，将军白发征夫泪。	渔家傲·秋思
薄雾浓云愁永昼，瑞脑销金兽。	醉花阴·薄雾浓云愁永昼
只恐双溪舴艋舟，载不动许多愁。	武陵春·春晚
相见争如不见，多情何似无情。	西江月·宝髻松松挽就
遗民泪尽胡尘里，南望王师又一年。	秋夜将晓出篱门迎凉有感二首
东篱把酒黄昏后，有暗香盈袖。	醉花阴·薄雾浓云愁永昼
似花还似非花，也无人惜从教坠。	水龙吟·次韵章质夫杨花词
三杯两盏淡酒，怎敌他、晚来风急？	声声慢·寻寻觅觅
菡萏香销翠叶残，西风愁起绿波间。	摊破浣溪沙·菡萏香销翠叶残
故园东望路漫漫，双袖龙钟泪不干。	逢入京使
槛菊愁烟兰泣露。罗幕轻寒，燕子双飞去。	蝶恋花·槛菊愁烟兰泣露
伤心秦汉经行处，宫阙万间都做了土。	山坡羊·潼关怀古
两句三年得，一吟双泪流。	题诗后
系我一生心，负你千行泪。	忆帝京·薄衾小枕凉天气
剑外忽传收蓟北，初闻涕泪满衣裳。	闻官军收河南河北
日长篱落无人过，惟有蜻蜓蛱蝶飞。	四时田园杂兴·其二
相顾无言，惟有泪千行。	江城子·乙卯正月二十日夜记梦
这次第，怎一个愁字了得！	声声慢·寻寻觅觅
晓镜但愁云鬓改，夜吟应觉月光寒。	无题·相见时难别亦难
移舟泊烟渚，日暮客愁新。	宿建德江
世情薄，人情恶，雨送黄昏花易落。	钗头凤·世情薄
总为浮云能蔽日，长安不见使人愁。	登金陵凤凰台
多情却被无情恼，今夜还如昨夜长。	鹧鸪天·候馆灯昏雨送凉
但见泪痕湿，不知心恨谁。	怨情
多情却似总无情，唯觉樽前笑不成。	赠别
曲阑深处重相见，匀泪偎人颤。	虞美人·曲阑深处重相见
人世几回伤往事，山形依旧枕寒流。	西塞山怀古
有情芍药含春泪，无力蔷薇卧晓枝。	春日
已是黄昏独自愁，更著风和雨。	卜算子·咏梅
春如旧。人空瘦。泪痕红浥鲛绡透。	钗头凤·红酥手
归来饱饭黄昏后，不脱蓑衣卧月明。	牧童 / 令牧童答钟弱翁
悲欢离合总无情。一任阶前、点滴到天明。	虞美人·听雨
还卿一钵无情泪，恨不相逢未剃时。	本事诗十首·选二
一片花飞减却春，风飘万点正愁人。	曲江二首
青鸟不传云外信，丁香空结雨中愁。	摊破浣溪沙·手卷真珠上玉钩
五更疏欲断，一树碧无情。	蝉
万事到头都是梦，休休。明日黄花蝶也愁。	南乡子·重九涵辉楼呈徐君猷
曾把梨花，寂寞泪阑干。	江城子·赏春
无情最是台城柳，依旧烟笼十里堤。	台城
倩何人唤取，红巾翠袖，揾英雄泪！	水龙吟·登建康赏心亭
城中桃李愁风雨，春在溪头荠菜花。	鹧鸪天·陌上柔桑破嫩芽
人生亦有命，安能行叹复坐愁？	拟行路难·其四
时光只解催人老，不信多情，长恨离亭，泪滴春衫酒易醒。	采桑子·时光只解催人老
且看欲尽花经眼，莫厌伤多酒入唇。	曲江二首
只向从前悔薄情，凭仗丹青重省识，盈盈，一片伤心画不成。	南乡子·为亡妇题照
不见去年人，泪湿春衫袖。	生查子·元夕
扬子江头杨柳春，杨花愁杀渡江人。	淮上与友人别
春雨楼头尺八箫，何时归看浙江潮？	本事诗十首·选二
一声何满子，双泪落君前。	宫词·故国三千里
惊起却回头，有恨无人省。	卜算子·黄州定慧院寓居作
昨日入城市，归来泪满巾。	蚕妇
芳草无情，更在斜阳外。	苏幕遮·怀旧
芳树无人花自落，春山一路鸟空啼。	春行即兴
一枕新愁，残夜花香月满楼。	减字木兰花·春夜闻隔墙歌吹声
有谁知我此时情，枕前泪共阶前雨，隔个窗儿滴到明。	鹧鸪天·别情
花红易衰似郎意，水流无限似侬愁。	竹枝词·山桃红花满上头
一片春愁待酒浇。江上舟摇，楼上帘招。	一剪梅·舟过吴江
重帏深下莫愁堂，卧后清宵细细长。	无题·重帏深下莫愁堂
南朝千古伤心事，犹唱后庭花。	人月圆·宴北人张侍御家有感
新妆宜面下朱楼，深锁春光一院愁。	和乐天春词 / 春词
春愁难遣强看山，往事惊心泪欲潸。	春愁
而今识尽愁滋味，欲说还休。	丑奴儿·书博山道中壁
马上逢寒食，愁中属暮春。	途中寒食题黄梅临江驿寄崔融
佳节清明桃李笑，野田荒冢只生愁。	清明
晚日寒鸦一片愁。柳塘新绿却温柔。	鹧鸪天·代人赋
无情有恨何人觉？月晓风清欲堕时。	白莲
醉里且贪欢笑，要愁那得工夫。	西江月·遣兴
纵被无情弃，不能羞。	思帝乡·春日游
春去也，飞红万点愁如海。	千秋岁·水边沙外
草木也知愁，韶华竟白头。	唐多令·柳絮
残霞夕照西湖好，花坞苹汀，十顷波平，野岸无人舟自横。	采桑子·残霞夕照西湖好
涧户寂无人，纷纷开且落。	辛夷坞
不信比来长下泪，开箱验取石榴裙。	如意娘
耕犁千亩实千箱，力尽筋疲谁复伤？	病牛
断送一生憔悴，只销几个黄昏。	清平乐·春风依旧
望极春愁，黯黯生天际。	蝶恋花·伫倚危楼风细细
无人信高洁，谁为表予心？	咏蝉 / 在狱咏蝉
纱窗日落渐黄昏，金屋无人见泪痕。	春怨
楼上黄昏欲望休，玉梯横绝月如钩。	代赠二首·其一
何时倚虚幌，双照泪痕干。	月夜
雨恨云愁，江南依旧称佳丽。	点绛唇·感兴
迟日园林悲昔游，今春花鸟作边愁。	渡湘江
花明柳暗绕天愁，上尽重城更上楼。	夕阳楼
江娥啼竹素女愁，李凭中国弹箜篌。	李凭箜篌引
愁肠已断无由醉，酒未到，先成泪。	御街行·秋日怀旧
日色已尽花含烟，月明欲素愁不眠。	长相思三首·其二
百啭无人能解，因风飞过蔷薇。	清平乐·春归何处
红泪偷垂，满眼春风百事非。	采桑子·当时错
门外无人问落花，绿阴冉冉遍天涯。	春暮
世事茫茫难自料，春愁黯黯独成眠。	寄李儋元锡
