山不在高，有仙则名。水不在深，有龙则灵。	陋室铭
平芜尽处是春山，行人更在春山外。	踏莎行·候馆梅残
山边幽谷水边村，曾被疏花断客魂。	墨梅
犬吠水声中，桃花带露浓。	访戴天山道士不遇
却下水晶帘，玲珑望秋月。	玉阶怨
深知身在情长在，怅望江头江水声。	暮秋独游曲江
莫莫高山。深谷逶迤。	紫芝歌
两水夹明镜，双桥落彩虹。	秋登宣城谢脁北楼
渐行渐远渐无书，水阔鱼沉何处问。	玉楼春·别后不知君远近
自笑堂堂汉使，得似洋洋河水，依旧只流东。	水调歌头·送章德茂大卿使虏
群山万壑赴荆门，生长明妃尚有村。	咏怀古迹五首·其三
江流天地外，山色有无中。	汉江临泛 / 汉江临眺
报道山中去，归时每日斜。	寻陆鸿渐不遇
碧野朱桥当日事，人不见，水空流。	江城子·西城杨柳弄春柔
太乙近天都，连山接海隅。	终南山
海畔尖山似剑铓，秋来处处割愁肠。	与浩初上人同看山寄京华亲故
水调数声持酒听。午醉醒来愁未醒。	天仙子·水调数声持酒听
筑室兮水中，葺之兮荷盖；	九歌·湘夫人
吴姬越艳楚王妃，争弄莲舟水湿衣。	采莲曲二首
凉月如眉挂柳湾，越中山色镜中看。	兰溪棹歌
河水倾泼丈余，鸡鸣犬吠满城中。	地震
栖霞山裂；沂水陷穴，广数亩。	地震
鼎湖流水清且闲，轩辕去时有弓剑，古人传道留其间。	飞龙引二首·其二
白酒新熟山中归，黄鸡啄黍秋正肥。	南陵别儿童入京
四月清和雨乍晴，南山当户转分明。	客中初夏
隋堤三月水溶溶。背归鸿，去吴中。	江神子·恨别
惟有楼前流水，应念我、终日凝眸。	凤凰台上忆吹箫·香冷金猊
知章骑马似乘船，眼花落井水底眠。	饮中八仙歌
淮水东边旧时月，夜深还过女墙来。	金陵五题·石头城
远去不逢青海马，力穷难拔蜀山蛇。	咏史二首·其二
一枝红艳露凝香，云雨巫山枉断肠。	清平调·其二
寒山转苍翠，秋水日潺湲。	辋川闲居赠裴秀才迪
枯枝无丑叶，涸水吐清泉。	长歌行
